Date,Expiry,Option Type,Time left,Strike Price,Settle Price,Underlying Price
02-Jan-2017,25-Jan-2017,CE,23,8200,110.05,8179.5
03-Jan-2017,25-Jan-2017,CE,22,8200,110.7,8192.25
04-Jan-2017,25-Jan-2017,CE,21,8200,110.6,8190.5
05-Jan-2017,25-Jan-2017,CE,20,8200,152.8,8273.8
06-Jan-2017,25-Jan-2017,CE,19,8200,134.55,8243.8
09-Jan-2017,25-Jan-2017,CE,16,8200,119.45,8236.05
10-Jan-2017,25-Jan-2017,CE,15,8200,141.65,8288.6
11-Jan-2017,25-Jan-2017,CE,14,8200,208.2,8380.65
12-Jan-2017,25-Jan-2017,CE,13,8200,230.8,8407.2
13-Jan-2017,25-Jan-2017,CE,12,8200,228.75,8400.35
16-Jan-2017,25-Jan-2017,CE,9,8200,238.85,8412.8
17-Jan-2017,25-Jan-2017,CE,8,8200,214.35,8398
18-Jan-2017,25-Jan-2017,CE,7,8200,231.35,8417
19-Jan-2017,25-Jan-2017,CE,6,8200,243,8435.1
20-Jan-2017,25-Jan-2017,CE,5,8200,168,8349.35
23-Jan-2017,25-Jan-2017,CE,2,8200,199.15,8391.5
24-Jan-2017,25-Jan-2017,CE,1,8200,276.05,8475.8
01-Feb-2017,23-Feb-2017,CE,22,8700,126.95,8716.4
02-Feb-2017,23-Feb-2017,CE,21,8700,121.15,8734.25
03-Feb-2017,23-Feb-2017,CE,20,8700,121.2,8740.95
06-Feb-2017,23-Feb-2017,CE,17,8700,159.8,8801.05
07-Feb-2017,23-Feb-2017,CE,16,8700,135.75,8768.3
08-Feb-2017,23-Feb-2017,CE,15,8700,137,8769.05
09-Feb-2017,23-Feb-2017,CE,14,8700,133.25,8778.4
10-Feb-2017,23-Feb-2017,CE,13,8700,139.1,8793.55
13-Feb-2017,23-Feb-2017,CE,10,8700,139.05,8805.05
14-Feb-2017,23-Feb-2017,CE,9,8700,138.8,8792.3
15-Feb-2017,23-Feb-2017,CE,8,8700,86.65,8724.7
16-Feb-2017,23-Feb-2017,CE,7,8700,109.85,8778
17-Feb-2017,23-Feb-2017,CE,6,8700,136.75,8821.7
20-Feb-2017,23-Feb-2017,CE,3,8700,173.4,8879.2
21-Feb-2017,23-Feb-2017,CE,2,8700,208.25,8907.85
22-Feb-2017,23-Feb-2017,CE,1,8700,215.85,8926.9
01-Mar-2017,30-Mar-2017,CE,29,8950,139.5,8945.8
02-Mar-2017,30-Mar-2017,CE,28,8950,105.9,8899.75
03-Mar-2017,30-Mar-2017,CE,27,8950,105.3,8897.55
06-Mar-2017,30-Mar-2017,CE,24,8950,132.15,8963.45
07-Mar-2017,30-Mar-2017,CE,23,8950,131.45,8946.9
08-Mar-2017,30-Mar-2017,CE,22,8950,121.75,8924.3
09-Mar-2017,30-Mar-2017,CE,21,8950,124.05,8927
10-Mar-2017,30-Mar-2017,CE,20,8950,119.85,8934.55
14-Mar-2017,30-Mar-2017,CE,16,8950,182.95,9087
